fecha,codigoSerial,pm25,pm10
2017-01-01 00:00:00,12,65.0,97.0
2017-01-01 00:00:00,6,-9999.0,11.0
2017-01-01 00:00:00,46,-9999.0,73.0
2017-01-01 00:00:00,28,139.0,-9999.0
2017-01-01 00:00:00,41,-9999.0,-9999.0
2017-01-01 00:00:00,37,-9999.0,37.0
2017-01-01 00:00:00,40,-9999.0,-9999.0
2017-01-01 00:00:00,38,40.0,61.0
2017-01-01 01:00:00,6,-9999.0,30.0
2017-01-01 01:00:00,46,-9999.0,142.0
2017-01-01 01:00:00,28,199.0,-9999.0
2017-01-01 01:00:00,37,-9999.0,56.0
2017-01-01 01:00:00,40,-9999.0,-9999.0
2017-01-01 01:00:00,38,95.0,135.0
2017-01-01 01:00:00,41,-9999.0,-9999.0
2017-01-01 01:00:00,12,115.0,158.0
2017-01-01 02:00:00,6,-9999.0,67.0
2017-01-01 02:00:00,40,-9999.0,-9999.0
2017-01-01 02:00:00,28,166.0,-9999.0
2017-01-01 02:00:00,38,36.0,79.0
2017-01-01 02:00:00,41,-9999.0,-9999.0
2017-01-01 02:00:00,37,-9999.0,88.0
2017-01-01 02:00:00,12,123.0,189.0
2017-01-01 02:00:00,46,-9999.0,183.0
2017-01-01 03:00:00,12,162.0,221.0
2017-01-01 03:00:00,28,142.0,-9999.0
2017-01-01 03:00:00,38,33.0,53.0
2017-01-01 03:00:00,6,-9999.0,93.0
2017-01-01 03:00:00,46,-9999.0,162.0
2017-01-01 03:00:00,37,-9999.0,59.0
2017-01-01 03:00:00,41,-9999.0,-9999.0
2017-01-01 03:00:00,40,-9999.0,-9999.0
2017-01-01 04:00:00,37,-9999.0,94.0
2017-01-01 04:00:00,41,-9999.0,-9999.0
2017-01-01 04:00:00,38,37.0,64.0
2017-01-01 04:00:00,28,108.0,-9999.0
2017-01-01 04:00:00,40,-9999.0,-9999.0
2017-01-01 04:00:00,12,136.0,193.0
2017-01-01 04:00:00,6,-9999.0,56.0
2017-01-01 04:00:00,46,-9999.0,133.0
2017-01-01 05:00:00,37,-9999.0,87.0
2017-01-01 05:00:00,28,75.0,-9999.0
2017-01-01 05:00:00,38,35.0,44.0
2017-01-01 05:00:00,12,167.0,221.0
2017-01-01 05:00:00,41,-9999.0,-9999.0
2017-01-01 05:00:00,46,-9999.0,151.0
2017-01-01 05:00:00,40,-9999.0,-9999.0
2017-01-01 05:00:00,6,-9999.0,21.0
2017-01-01 06:00:00,40,-9999.0,-9999.0
2017-01-01 06:00:00,38,47.0,72.0
2017-01-01 06:00:00,41,-9999.0,-9999.0
2017-01-01 06:00:00,37,-9999.0,81.0
2017-01-01 06:00:00,28,64.0,-9999.0
2017-01-01 06:00:00,6,-9999.0,82.0
2017-01-01 06:00:00,12,71.0,109.0
2017-01-01 06:00:00,46,-9999.0,100.0
2017-01-01 07:00:00,38,62.0,94.0
2017-01-01 07:00:00,28,69.0,-9999.0
2017-01-01 07:00:00,41,-9999.0,-9999.0
2017-01-01 07:00:00,37,-9999.0,73.0
2017-01-01 07:00:00,6,-9999.0,72.0
2017-01-01 07:00:00,46,-9999.0,105.0
2017-01-01 07:00:00,40,-9999.0,-9999.0
2017-01-01 07:00:00,12,79.0,111.0
2017-01-01 08:00:00,41,-9999.0,-9999.0
2017-01-01 08:00:00,40,-9999.0,-9999.0
2017-01-01 08:00:00,38,60.0,92.0
2017-01-01 08:00:00,12,98.0,141.0
2017-01-01 08:00:00,6,-9999.0,61.0
2017-01-01 08:00:00,37,-9999.0,85.0
2017-01-01 08:00:00,28,73.0,-9999.0
2017-01-01 08:00:00,46,-9999.0,101.0
2017-01-01 09:00:00,40,-9999.0,-9999.0
2017-01-01 09:00:00,12,92.0,135.0
2017-01-01 09:00:00,37,-9999.0,79.0
2017-01-01 09:00:00,41,-9999.0,-9999.0
2017-01-01 09:00:00,46,-9999.0,117.0
2017-01-01 09:00:00,38,61.0,94.0
2017-01-01 09:00:00,6,-9999.0,61.0
2017-01-01 09:00:00,28,63.0,-9999.0
2017-01-01 10:00:00,12,67.0,95.0
2017-01-01 10:00:00,38,63.0,93.0
2017-01-01 10:00:00,41,-9999.0,-9999.0
2017-01-01 10:00:00,6,-9999.0,52.0
2017-01-01 10:00:00,28,42.0,-9999.0
2017-01-01 10:00:00,40,-9999.0,-9999.0
2017-01-01 10:00:00,46,-9999.0,93.0
2017-01-01 10:00:00,37,-9999.0,32.0
2017-01-01 11:00:00,38,34.0,57.0
2017-01-01 11:00:00,37,-9999.0,23.0
2017-01-01 11:00:00,41,-9999.0,-9999.0
2017-01-01 11:00:00,28,25.0,-9999.0
2017-01-01 11:00:00,6,-9999.0,52.0
2017-01-01 11:00:00,12,29.0,40.0
2017-01-01 11:00:00,46,-9999.0,40.0
2017-01-01 11:00:00,40,-9999.0,-9999.0
2017-01-01 12:00:00,6,-9999.0,44.0
2017-01-01 12:00:00,38,17.0,37.0
2017-01-01 12:00:00,46,-9999.0,38.0
2017-01-01 12:00:00,37,-9999.0,24.0
2017-01-01 12:00:00,28,28.0,-9999.0
2017-01-01 12:00:00,41,-9999.0,-9999.0
2017-01-01 12:00:00,40,-9999.0,-9999.0
2017-01-01 12:00:00,12,35.0,55.0
2017-01-01 13:00:00,40,-9999.0,-9999.0
2017-01-01 13:00:00,12,27.0,49.0
2017-01-01 13:00:00,46,-9999.0,24.0
2017-01-01 13:00:00,37,-9999.0,27.0
2017-01-01 13:00:00,28,11.0,-9999.0
2017-01-01 13:00:00,6,-9999.0,7.0
2017-01-01 13:00:00,41,-9999.0,-9999.0
2017-01-01 13:00:00,38,21.0,32.0
2017-01-01 14:00:00,12,20.0,31.0
2017-01-01 14:00:00,37,-9999.0,16.0
2017-01-01 14:00:00,38,12.0,39.0
2017-01-01 14:00:00,41,-9999.0,-9999.0
2017-01-01 14:00:00,28,27.0,-9999.0
2017-01-01 14:00:00,46,-9999.0,26.0
